,sitename,PISCO_CODE,lat_wgs84,lon_wgs84,associated_mpa,MPA_STATUS,YEAR_MPA,island,CAMPUS,year,month,day,method
53,DOLAN_UC,SDLN01,-121.6335611,36.1092023,Big Creek SMR,SMR,2007,Mainland,UCSC,2007,7,18,SBTL_SWATH
54,DUCK_POND_DC,SDKP02,-121.4248167,35.8572567,Piedras Blancas SMR,reference,0,Mainland,UCSC,2003,9,18,SBTL_SWATH
55,DUCK_POND_UC,SDKP01,-121.4264195,35.8582386,Piedras Blancas SMR,reference,0,Mainland,UCSC,2003,9,18,SBTL_SWATH
56,DUNES_CEN,SDNS01,-120.65022,34.7731,Vandenberg SMR,reference,0,Mainland,UCSC,2008,9,9,SBTL_SWATH
57,EL_MATADOR_CEN,SELM01,-118.8701667,34.03328333,Point Dume SMCA,SMCA,2012,Mainland,UCSB,2010,10,15,SBTL_SWATH
58,ESALEN_DC,SESA02,-121.6479869,36.1244095,Big Creek SMR,reference,0,Mainland,UCSC,2001,10,19,SBTL_SWATH
59,ESALEN_UC,SESA01,-121.6530459,36.1281131,Big Creek SMR,reference,0,Mainland,UCSC,2001,10,19,SBTL_SWATH
60,ESTERO_CEN,SEST01,-121.0296315,35.472387,White Rock SMCA,SMCA,2007,Mainland,UCSC,2007,9,6,SBTL_SWATH
61,FALSE_SUR_CEN,SFSR01,-121.8868219,36.2775558,Point Sur SMR,SMR,2007,Mainland,UCSC,2007,9,13,SBTL_SWATH
62,FULLERS_CEN,SFLR01,-121.7521649,36.2081061,Point Sur SMR,reference,0,Mainland,UCSC,2007,7,19,SBTL_SWATH
63,GREEN_PEAK_CEN,SGRP01,-120.8306873,35.1901038,Pt. Buchon SMR,reference,0,Mainland,UCSC,2007,10,26,SBTL_SWATH
64,HARMONY_CEN,SHRM01,-121.0578077,35.4964096,White Rock SMCA,reference,0,Mainland,UCSC,2007,9,6,SBTL_SWATH
65,HOPKINS_DC,SHOP02,-121.904196,36.6235861,Lovers Point SMR,SMR,1984,Mainland,UCSC,1999,9,7,SBTL_SWATH
66,HOPKINS_UC,SHOP01,-121.9007885,36.621649,Lovers Point SMR,SMR,1984,Mainland,UCSC,1999,9,7,SBTL_SWATH
67,HORSESHOE_REEF_E,SHOR02,-119.5447667,34.38945,NONE,reference,0,Mainland,UCSB,2010,7,6,SBTL_SWATH
68,HORSESHOE_REEF_W,SHOR01,-119.5577,34.39173333,NONE,reference,0,Mainland,UCSB,2010,7,6,SBTL_SWATH
69,IV_REEF_E,SIVR02,-119.8645167,34.40295,Campus Point SMCA,SMCA,2012,Mainland,UCSB,2009,6,19,SBTL_SWATH
70,IV_REEF_W,SIVR01,-119.8762833,34.40473333,Campus Point SMCA,SMCA,2012,Mainland,UCSB,2009,6,19,SBTL_SWATH
71,JALAMA_N,SJAL01,-120.5005234,34.48696,Vandenberg SMR,reference,0,Mainland,UCSB,1999,11,18,SBTL_SWATH
72,JALAMA_S,SJAL02,-120.4944583,34.4808418,Vandenberg SMR,reference,0,Mainland,UCSB,1999,11,18,SBTL_SWATH
